,name,year,rating,metascore,metascore/10,runtime,content,,Summary Statistics,,t-Test: Two-Sample Assuming Equal Variances,,,,Hypothesis Testing,,,,,,
59,Charlie's Angels,2019,4.9,52,5.2,118,PG-13,,,,,,,,,,,,,,
60,Thor: Ragnarok,2017,7.9,74,7.4,130,PG-13,,,,,,,,,,,,,,
61,Justice League,2017,6.1,45,4.5,120,PG-13,,,,,,,,,,,,,,
62,Gladiator,2000,8.5,67,6.7,155,R,,,,,,,,,,,,,,
63,Venom,2018,6.7,35,3.5,112,PG-13,,,,,,,,,,,,,,
64,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,63,6.3,143,PG-13,,,,,,,,,,,,,,
65,Star Wars: The Rise Of Skywalker,2019,6.5,53,5.3,141,PG-13,,,,,,,,,,,,,,
66,Luca,2021,7.5,71,7.1,95,PG,,,,,,,,,,,,,,
67,Captain Marvel,2019,6.8,64,6.4,123,PG-13,,,,,,,,,,,,,,
68,Shrek,2001,7.9,84,8.4,90,PG,,,,,,,,,,,,,,
69,Ant-Man,2015,7.3,64,6.4,117,PG-13,,,,,,,,,,,,,,
70,Jungle Cruise,2021,6.6,50,5,127,PG-13,,,,,,,,,,,,,,
71,Ready Player One,2018,7.4,64,6.4,140,PG-13,,,,,,,,,,,,,,
72,Divergent,2014,6.7,48,4.8,139,PG-13,,,,,,,,,,,,,,
73,The Princess Bride,1987,8,77,7.7,98,PG,,,,,,,,,,,,,,
74,Back to the Future,1985,8.6,87,8.7,116,PG,,,,,,,,,,,,,,
75,Star Wars: Episode I - The Phantom Menace,1999,6.5,51,5.1,136,PG,,,,,,,,,,,,,,
76,Harry Potter and the Goblet of Fire,2005,7.7,81,8.1,157,PG-13,,,,,,,,,,,,,,
77,War for the Planet of the Apes,2017,7.4,82,8.2,140,PG-13,,,,,,,,,,,,,,
78,The Amazing Spider-Man,2012,7,66,6.6,136,PG-13,,,,,,,,,,,,,,
79,Rogue One: A Star Wars Story,2016,7.8,65,6.5,133,PG-13,,,,,,,,,,,,,,
80,The Grand Budapest Hotel,2014,8.1,88,8.8,99,R,,,,,,,,,,,,,,
81,Wonder Woman,2017,7.4,76,7.6,141,PG-13,,,,,,,,,,,,,,
82,The Tomorrow War,2021,6.6,45,4.5,138,PG-13,,,,,,,,,,,,,,
83,The Fifth Element,1997,7.7,52,5.2,126,PG-13,,,,,,,,,,,,,,
84,Moana,2016,7.6,81,8.1,107,PG,,,,,,,,,,,,,,
85,Around the World in 80 Days,1956,6.7,69,6.9,175,G,,,,,,,,,,,,,,
86,Beauty and the Beast,2017,7.1,65,6.5,129,PG,,,,,,,,,,,,,,
87,Jumanji: Welcome to the Jungle,2017,6.9,58,5.8,119,PG-13,,,,,,,,,,,,,,
88,Iron Man,2008,7.9,79,7.9,126,PG-13,,,,,,,,,,,,,,
89,Jumanji: The Next Level,2019,6.7,58,5.8,123,PG-13,,,,,,,,,,,,,,
90,The Lego Batman Movie,2017,7.3,75,7.5,104,PG,,,,,,,,,,,,,,
91,The Lion King,1994,8.5,88,8.8,88,G,,,,,,,,,,,,,,
92,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,6.8,140,PG-13,,,,,,,,,,,,,,
93,Dawn of the Planet of the Apes,2014,7.6,79,7.9,130,PG-13,,,,,,,,,,,,,,
94,Birds of Prey,2020,6,60,6,109,R,,,,,,,,,,,,,,
95,Captain America: The First Avenger,2011,6.9,66,6.6,124,PG-13,,,,,,,,,,,,,,
96,The Mitchells vs the Machines,2021,7.7,81,8.1,113,PG,,,,,,,,,,,,,,
97,The Mummy,1999,7.1,48,4.8,124,PG-13,,,,,,,,,,,,,,
98,Doctor Strange,2016,7.5,72,7.2,115,PG-13,,,,,,,,,,,,,,
